,Name,Neuron,Cond,LatentVar1,LatentVar2,LatentVar3,LatentVar4
1440,{AWBL}_{STAM_appetitive_mock_OFF}_{LEIFStapMOCK35BUT_offStep_lev},AWBL,STAM_appetitive_mock_OFF,1.075985484192678,-0.21710243053087067,0.5923703488803265,-0.5544599414139805
1441,{ASKR}_{STAM_aversive_trained_OFF}_{LEIFstavTrained24BUT_offStep_lev},ASKR,STAM_aversive_trained_OFF,0.024367340897488324,0.04685844110607937,-0.08002268145415824,0.10782446555303625
1442,{RIML}_{STAM_appetitive_trained_OFF}_{LEIFstapTrained11BUT_offStep_lev},RIML,STAM_appetitive_trained_OFF,-0.40616441386596086,1.5115944568979298,1.0441380687880357,-1.5735607179675108
1443,{AVEL}_{STAM_appetitive_mock_OFF}_{LEIFStapMOCK52BUT_offStep_lev},AVEL,STAM_appetitive_mock_OFF,-0.9366814442468793,1.9350539627998125,0.160013049855524,-1.0163016635592077
1444,{AIBR}_{STAM_appetitive_mock_OFF}_{LEIFstapMOCK39BUT_offStep_lev},AIBR,STAM_appetitive_mock_OFF,-2.59719922220436,2.388457175979816,-0.6922821727485061,-1.6951975962023413
1445,{ASIR}_{STAM_aversive_mock_OFF}_{LEIFmockSTAV21BUT_offStep_lev},ASIR,STAM_aversive_mock_OFF,-1.9220312365294432,-0.07168619161211667,-2.6088281301471863,-0.07834834145293502
1446,{AWBR}_{STAM_appetitive_mock_OFF}_{LEIFstapMock1BUT_offStep_lev},AWBR,STAM_appetitive_mock_OFF,0.19332316444846068,0.038031044628231286,0.012875367297878543,0.058204991648562965
1447,{ADLL}_{LTAM_appetitive_trained_ON}_{LEIFLTAPTrained4BUT_onStep_lev},ADLL,LTAM_appetitive_trained_ON,0.20845463123447078,0.09221367149357064,-0.16653013892424567,0.17937142326781477
1448,{ASGR}_{LTAM_appetitive_trained_OFF}_{LEIFLTAPTrained6BUT_offStep_lev},ASGR,LTAM_appetitive_trained_OFF,0.22327951104137828,0.09798228399760806,-0.21522275137189306,0.12848091465242265
1449,{AWBL}_{LTAM_aversive_trained_ON}_{LEIFLTAVTrained16BUT_onStep_lev},AWBL,LTAM_aversive_trained_ON,-0.17295774368893652,0.05212350623166222,0.24903848661943623,0.000473536806573905
1450,{ASJR}_{STAM_aversive_trained_ON}_{LEIFstavTrained26BUT_onStep_lev},ASJR,STAM_aversive_trained_ON,0.33743869174672886,0.2853359384103873,-0.13200490019367764,0.12225417454422965
1451,{ASHR}_{LTAM_appetitive_trained_OFF}_{LEIFLTAPTrained2BUT_offStep_lev},ASHR,LTAM_appetitive_trained_OFF,0.2159864334471995,0.14198962835335044,-0.13146228279377112,0.2127390839228044
1452,{ADFL}_{STAM_appetitive_mock_ON}_{LEIFStapMOCK33BUT_onStep_lev},ADFL,STAM_appetitive_mock_ON,-0.0654233178505046,0.08793375980036795,-0.9400427314149131,-0.6433247425815188
1453,{RIMR}_{STAM_appetitive_mock_OFF}_{LEIFStapMOCK34BUT_offStep_lev},RIMR,STAM_appetitive_mock_OFF,-3.299817891389558,-1.8071936719184425,1.187656217159813,-3.3095573715546873
1454,{ADLR}_{STAM_aversive_trained_OFF}_{LEIFstavTrained25BUT_offStep_lev},ADLR,STAM_aversive_trained_OFF,-0.38218644635425364,-0.2507646526373438,0.34238771911629295,0.005207930830325859
1455,{ASIL}_{STAM_appetitive_mock_OFF}_{LEIFStapMOCK35BUT_offStep_lev},ASIL,STAM_appetitive_mock_OFF,0.254332866924071,0.16207100723169857,-0.19047998232712463,0.23990558263581058
1456,{AWBR}_{STAM_appetitive_trained_OFF}_{LEIFstapTrained21BUT_offStep_lev},AWBR,STAM_appetitive_trained_OFF,0.9999138310519686,-0.7070065664369903,0.7597379836232985,-1.6010578837000458
1457,{R6BR}_{STAM_appetitive_mock_ON}_{LEIFStapMOCK36BUT_onStep_lev},R6BR,STAM_appetitive_mock_ON,-2.7573203371228314,-1.1911558863059415,-2.8921504035544596,-0.27371886606236834
1458,{ASKR}_{LTAM_appetitive_mock_ON}_{LEIFLTAPMock315BUT_onStep_lev},ASKR,LTAM_appetitive_mock_ON,-0.20035953537371043,0.12117164781377854,0.3986408658422952,0.13549041701002723
1459,{AWBL}_{LTAM_aversive_trained_OFF}_{LEIFLTAVTrained12BUT_offStep_lev},AWBL,LTAM_aversive_trained_OFF,0.07848286781738022,-0.648028146983088,-0.07719451697803227,-0.4645289222421813
1460,{AWBR}_{LTAM_appetitive_mock_OFF}_{LEIFLTAPMock1BUT_offStep_lev},AWBR,LTAM_appetitive_mock_OFF,0.22096598390715,0.0537556471520447,0.001244506055420389,0.04246418038581769
1461,{AWBR}_{STAM_aversive_trained_OFF}_{LEIFstavTrained25BUT_offStep_lev},AWBR,STAM_aversive_trained_OFF,1.3817336689179034,-0.029646682772284636,0.8510950525159809,-2.4832018816070507
1462,{AWBR}_{STAM_aversive_mock_OFF}_{LEIFmockSTAV16BUT_offStep_lev},AWBR,STAM_aversive_mock_OFF,0.1890590632912046,0.16241302209204728,0.03926397429351315,0.12400648741889868
1463,{no_name3}_{LTAM_aversive_mock_ON}_{LEIFLtavMOCK3BUT_onStep_lev},no_name3,LTAM_aversive_mock_ON,-1.0243717660698508,-0.9537963971010592,-0.7722460557023543,-0.1975829613931578
1464,{ASHL}_{LTAM_appetitive_mock_OFF}_{LEIFLTAPMock315BUT_offStep_lev},ASHL,LTAM_appetitive_mock_OFF,0.19659066629167304,0.15605399356298244,-0.053164529013327896,0.20329449229976485
1465,{AVEL}_{LTAM_aversive_trained_ON}_{LEIFLTAVTrained10BUT_onStep_lev},AVEL,LTAM_aversive_trained_ON,-3.768799554802564,0.5778650699831251,-1.0076073831575132,-0.1393333764985415
1466,{ASKL}_{LTAM_appetitive_trained_ON}_{LEIFLTAPTrained3BUT_onStep_lev},ASKL,LTAM_appetitive_trained_ON,0.20995788264976034,0.0885230749839963,-0.1397486308319954,0.14733135831227812
1467,{AWAR}_{STAM_appetitive_trained_OFF}_{LEIFstapTrained33BUT_offStep_lev},AWAR,STAM_appetitive_trained_OFF,0.17182640670138868,0.16020252915697203,0.10704811586179207,0.07893426102333637
1468,{AVAR}_{STAM_appetitive_mock_OFF}_{LEIFstapMock1BUT_offStep_lev},AVAR,STAM_appetitive_mock_OFF,-0.8146796217600106,0.3976330876860347,0.7080318910140821,1.081810906945269
1469,{RIVR}_{LTAM_aversive_trained_ON}_{LEIFLTAVTrained5BUT_onStep_lev},RIVR,LTAM_aversive_trained_ON,0.022313354514061665,0.008456649663953361,0.11753072273254885,-0.07717493129131049
1470,{RIML}_{LTAM_aversive_mock_OFF}_{LEIFLtavMOCK14BUT_offStep_lev},RIML,LTAM_aversive_mock_OFF,-2.489716972990648,1.3946374528681107,-0.3928820658871088,-1.0612870683775477
1471,{ASIL}_{LTAM_appetitive_trained_OFF}_{LEIFLTAPTrained517BUT_offStep_lev},ASIL,LTAM_appetitive_trained_OFF,0.20867043880974176,0.17045385317150472,-0.2315758666427639,0.1752930112374967
1472,{URXR}_{STAM_aversive_mock_OFF}_{LEIFmockSTAV16BUT_offStep_lev},URXR,STAM_aversive_mock_OFF,0.2583634317558698,0.46730403293267675,0.29125503613259446,-0.521529111608624
1473,{ASHR}_{LTAM_aversive_trained_ON}_{LEIFLTAVTrained4BUT_onStep_lev},ASHR,LTAM_aversive_trained_ON,-0.8095424115975356,-0.0886337515685946,1.4214028092176805,-0.017898183341904347
1474,{AVER}_{LTAM_aversive_mock_ON}_{LEIFLtavMOCK9BUT_onStep_lev},AVER,LTAM_aversive_mock_ON,0.2949832601014712,-0.6659954552839583,1.4235932784521879,-0.7675738527450532
1475,{AWCR}_{STAM_aversive_trained_ON}_{LEIFstavTrained24BUT_onStep_lev},AWCR,STAM_aversive_trained_ON,-0.3542726637584854,1.0989806925147372,1.7002505150439688,-0.8160674869434223
1476,{no_name1}_{LTAM_appetitive_trained_ON}_{LEIFLTAPTrained416But_onStep_lev},no_name1,LTAM_appetitive_trained_ON,-0.13322168884607688,0.13136911701574194,0.206074555917218,0.1737983903165054
1477,{AWBR}_{STAM_appetitive_trained_OFF}_{LEIFstapTrained34BUT_offStep_lev},AWBR,STAM_appetitive_trained_OFF,0.801825676167267,-0.7949011581797937,0.27779084872583415,-2.4811754165896027
1478,{RIML}_{LTAM_aversive_mock_OFF}_{LEIFLtavMOCK8BUT_offStep_lev},RIML,LTAM_aversive_mock_OFF,-1.1038357714698497,0.4828538046540863,2.713443340498314,-0.1403208208129454
1479,{AWAR}_{STAM_appetitive_trained_OFF}_{LEIFstapTrained34BUT_offStep_lev},AWAR,STAM_appetitive_trained_OFF,0.22624105464446304,0.22578988764125354,-0.19600345928330698,0.2213062392888504
1480,{ASHR}_{STAM_aversive_trained_OFF}_{LEIFstavTrained25BUT_offStep_lev},ASHR,STAM_aversive_trained_OFF,-0.08167220511958519,-0.07052894464472138,0.5546145123576579,0.024808896905644792
1481,{RIMR}_{LTAM_aversive_mock_ON}_{LEIFLtavMOCK4BUT_onStep_lev},RIMR,LTAM_aversive_mock_ON,-1.4260755657275939,1.0636122719419112,1.5788212425499768,0.07330512256898
1482,{AWAL}_{STAM_appetitive_mock_ON}_{LEIFstapMock31BUT_onStep_lev},AWAL,STAM_appetitive_mock_ON,0.6508819700487598,-0.2203035500312817,0.09038242011063558,-0.42337437858740273
1483,{ADLL}_{LTAM_appetitive_trained_ON}_{LEIFLTAPTrained416But_onStep_lev},ADLL,LTAM_appetitive_trained_ON,-0.748472626457043,0.18286237997513527,0.8189805431685642,0.8703747395977094
